pokedex_num,name,japanese_name,type1,type2,generation,is_legendary,abilities,classfication,hp,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,defense,experience_growth,height_m,percentage_male,sp_attack,sp_defense,speed,weight_kg
14,Kakuna,Cocoonã‚³ã‚¯ãƒ¼ãƒ³,bug,poison,1,0,['Shed Skin'],Cocoon PokÃ©mon,45,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,25,3840,70,205,120,50,1000000,0.6,50.0,25,25,35,10.0
15,Beedrill,Spearã‚¹ãƒ”ã‚¢ãƒ¼,bug,poison,1,0,"['Swarm', 'Sniper']",Poison Bee PokÃ©mon,65,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,150,3840,70,495,45,40,1000000,1.0,50.0,15,80,145,29.5
16,Pidgey,Poppoãƒãƒƒãƒ,normal,flying,1,0,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",Tiny Bird PokÃ©mon,40,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,45,3840,70,251,255,40,1059860,0.3,50.0,35,35,56,1.8
17,Pidgeotto,Pigeonãƒ”ã‚¸ãƒ§ãƒ³,normal,flying,1,0,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",Bird PokÃ©mon,63,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,60,3840,70,349,120,55,1059860,1.1,50.0,50,50,71,30.0
18,Pidgeot,Pigeotãƒ”ã‚¸ãƒ§ãƒƒãƒˆ,normal,flying,1,0,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",Bird PokÃ©mon,83,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,80,3840,70,579,45,80,1059860,1.5,50.0,135,80,121,39.5
19,Rattata,Korattaã‚³ãƒ©ãƒƒã‚¿,normal,dark,1,0,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",Mouse PokÃ©mon,30,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56,3840,70,253,255,35,1000000,,50.0,25,35,72,
20,Raticate,Rattaãƒ©ãƒƒã‚¿,normal,dark,1,0,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",Mouse PokÃ©mon,75,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,71,3840,70,413,127,70,1000000,,50.0,40,80,77,
21,Spearow,Onisuzumeã‚ªãƒ‹ã‚¹ã‚ºãƒ¡,normal,flying,1,0,"['Keen Eye', 'Sniper']",Tiny Bird PokÃ©mon,40,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,60,3840,70,262,255,30,1000000,0.3,50.0,31,31,70,2.0
22,Fearow,Onidrillã‚ªãƒ‹ãƒ‰ãƒªãƒ«,normal,flying,1,0,"['Keen Eye', 'Sniper']",Beak PokÃ©mon,65,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,90,3840,70,442,90,65,1000000,1.2,50.0,61,61,100,38.0
23,Ekans,Arboã‚¢ãƒ¼ãƒœ,poison,,1,0,"['Intimidate', 'Shed Skin', 'Unnerve']",Snake PokÃ©mon,35,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,60,5120,70,288,255,44,1000000,2.0,50.0,40,54,55,6.9
24,Arbok,Arbokã‚¢ãƒ¼ãƒœãƒƒã‚¯,poison,,1,0,"['Intimidate', 'Shed Skin', 'Unnerve']",Cobra PokÃ©mon,60,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,95,5120,70,448,90,69,1000000,3.5,50.0,65,79,80,65.0
25,Pikachu,Pikachuãƒ”ã‚«ãƒãƒ¥ã‚¦,electric,,1,0,"['Static', 'Lightningrod']",Mouse PokÃ©mon,35,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,55,2560,70,320,190,40,1000000,0.4,50.0,50,50,90,6.0
26,Raichu,Raichuãƒ©ã‚¤ãƒãƒ¥ã‚¦,electric,electric,1,0,"['Static', 'Lightningrod', 'Surge Surfer']",Mouse PokÃ©mon,60,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,85,2560,70,485,75,50,1000000,,50.0,95,85,110,
27,Sandshrew,Sandã‚µãƒ³ãƒ‰,ground,ice,1,0,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",Mouse PokÃ©mon,50,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,75,5120,70,300,255,90,1000000,,50.0,10,35,40,
28,Sandslash,Sandpanã‚µãƒ³ãƒ‰ãƒ‘ãƒ³,ground,ice,1,0,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",Mouse PokÃ©mon,75,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,100,5120,70,450,90,120,1000000,,50.0,25,65,65,
29,Nidoranâ™€,Nidoran?ãƒ‹ãƒ‰ãƒ©ãƒ³â™€,poison,,1,0,"['Poison Point', 'Rivalry', 'Hustle']",Poison Pin PokÃ©mon,55,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,47,5120,70,275,235,52,1059860,0.4,0.0,40,40,41,7.0
30,Nidorina,Nidorinaãƒ‹ãƒ‰ãƒªãƒ¼ãƒŠ,poison,,1,0,"['Poison Point', 'Rivalry', 'Hustle']",Poison Pin PokÃ©mon,70,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,62,5120,70,365,120,67,1059860,0.8,0.0,55,55,56,20.0
31,Nidoqueen,Nidoqueenãƒ‹ãƒ‰ã‚¯ã‚¤ãƒ³,poison,ground,1,0,"['Poison Point', 'Rivalry', 'Sheer Force']",Drill PokÃ©mon,90,0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0,92,5120,70,505,45,87,1059860,1.3,0.0,75,85,76,60.0
32,Nidoranâ™‚,Nidoran?ãƒ‹ãƒ‰ãƒ©ãƒ³â™‚,poison,,1,0,"['Poison Point', 'Rivalry', 'Hustle']",Poison Pin PokÃ©mon,46,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,57,5120,70,273,235,40,1059860,0.5,100.0,40,40,50,9.0
33,Nidorino,Nidorinoãƒ‹ãƒ‰ãƒªãƒ¼ãƒŽ,poison,,1,0,"['Poison Point', 'Rivalry', 'Hustle']",Poison Pin PokÃ©mon,61,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,72,5120,70,365,120,57,1059860,0.9,100.0,55,55,65,19.5
34,Nidoking,Nidokingãƒ‹ãƒ‰ã‚­ãƒ³ã‚°,poison,ground,1,0,"['Poison Point', 'Rivalry', 'Sheer Force']",Drill PokÃ©mon,81,0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0,102,5120,70,505,45,77,1059860,1.4,100.0,85,75,85,62.0
35,Clefairy,Pippiãƒ”ãƒƒãƒ”,fairy,,1,0,"['Cute Charm', 'Magic Guard', 'Friend Guard']",Fairy PokÃ©mon,70,0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,45,2560,140,323,150,48,800000,0.6,24.6,60,65,35,7.5
36,Clefable,Pixyãƒ”ã‚¯ã‚·ãƒ¼,fairy,,1,0,"['Cute Charm', 'Magic Guard', 'Unaware']",Fairy PokÃ©mon,95,0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,70,2560,140,483,25,73,800000,1.3,24.6,95,90,60,40.0
37,Vulpix,Rokonãƒ­ã‚³ãƒ³,fire,ice,1,0,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",Fox PokÃ©mon,38,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,41,5120,70,299,190,40,1000000,,24.6,50,65,65,
38,Ninetales,Kyukonã‚­ãƒ¥ã‚¦ã‚³ãƒ³,fire,ice,1,0,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",Fox PokÃ©mon,73,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,67,5120,70,505,75,75,1000000,,24.6,81,100,109,
39,Jigglypuff,Purinãƒ—ãƒªãƒ³,normal,fairy,1,0,"['Cute Charm', 'Competitive', 'Friend Guard']",Balloon PokÃ©mon,115,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,45,2560,70,270,170,20,800000,0.5,24.6,45,25,20,5.5
40,Wigglytuff,Pukurinãƒ—ã‚¯ãƒªãƒ³,normal,fairy,1,0,"['Cute Charm', 'Competitive', 'Frisk']",Balloon PokÃ©mon,140,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,70,2560,70,435,50,45,800000,1.0,24.6,85,50,45,12.0
41,Zubat,Zubatã‚ºãƒãƒƒãƒˆ,poison,flying,1,0,"['Inner Focus', 'Infiltrator']",Bat PokÃ©mon,40,0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,45,3840,70,245,255,35,1000000,0.8,50.0,30,40,55,7.5
42,Golbat,Golbatã‚´ãƒ«ãƒãƒƒãƒˆ,poison,flying,1,0,"['Inner Focus', 'Infiltrator']",Bat PokÃ©mon,75,0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,80,3840,70,455,90,70,1000000,1.6,50.0,65,75,90,55.0
43,Oddish,NazonokusaãƒŠã‚¾ãƒŽã‚¯ã‚µ,grass,poison,1,0,"['Chlorophyll', 'Run Away']",Weed PokÃ©mon,45,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,50,5120,70,320,255,55,1059860,0.5,50.0,75,65,30,5.4
44,Gloom,Kusaihanaã‚¯ã‚µã‚¤ãƒãƒŠ,grass,poison,1,0,"['Chlorophyll', 'Stench']",Weed PokÃ©mon,60,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,65,5120,70,395,120,70,1059860,0.8,50.0,85,75,40,8.6
45,Vileplume,Ruffresiaãƒ©ãƒ•ãƒ¬ã‚·ã‚¢,grass,poison,1,0,"['Chlorophyll', 'Effect Spore']",Flower PokÃ©mon,75,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,80,5120,70,490,45,85,1059860,1.2,50.0,110,90,50,18.6
46,Paras,Parasãƒ‘ãƒ©ã‚¹,bug,grass,1,0,"['Effect Spore', 'Dry Skin', 'Damp']",Mushroom PokÃ©mon,35,2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5,70,5120,70,285,190,55,1000000,0.3,50.0,45,55,25,5.4
47,Parasect,Parasectãƒ‘ãƒ©ã‚»ã‚¯ãƒˆ,bug,grass,1,0,"['Effect Spore', 'Dry Skin', 'Damp']",Mushroom PokÃ©mon,60,2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5,95,5120,70,405,75,80,1000000,1.0,50.0,60,80,30,29.5
48,Venonat,Kongpangã‚³ãƒ³ãƒ‘ãƒ³,bug,poison,1,0,"['Compoundeyes', 'Tinted Lens', 'Run Away']",Insect PokÃ©mon,60,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,55,5120,70,305,190,50,1000000,1.0,50.0,40,55,45,30.0
49,Venomoth,Morphonãƒ¢ãƒ«ãƒ•ã‚©ãƒ³,bug,poison,1,0,"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']",Poison Moth PokÃ©mon,70,0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,65,5120,70,450,75,60,1000000,1.5,50.0,90,75,90,12.5
50,Diglett,Digdaãƒ‡ã‚£ã‚°ãƒ€,ground,ground,1,0,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",Mole PokÃ©mon,10,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,55,5120,70,265,255,30,1000000,,50.0,35,45,90,
51,Dugtrio,Dugtrioãƒ€ã‚°ãƒˆãƒªã‚ª,ground,ground,1,0,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",Mole PokÃ©mon,35,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,100,5120,70,425,50,60,1000000,,50.0,50,70,110,
52,Meowth,Nyarthãƒ‹ãƒ£ãƒ¼ã‚¹,normal,dark,1,0,"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']",Scratch Cat PokÃ©mon,40,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35,5120,70,290,255,35,1000000,,50.0,50,40,90,
53,Persian,Persianãƒšãƒ«ã‚·ã‚¢ãƒ³,normal,dark,1,0,"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']",Classy Cat PokÃ©mon,65,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,60,5120,70,440,90,60,1000000,,50.0,75,65,115,
54,Psyduck,Koduckã‚³ãƒ€ãƒƒã‚¯,water,,1,0,"['Damp', 'Cloud Nine', 'Swift Swim']",Duck PokÃ©mon,50,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,52,5120,70,320,190,48,1000000,0.8,50.0,65,50,55,19.6
55,Golduck,Golduckã‚´ãƒ«ãƒ€ãƒƒã‚¯,water,,1,0,"['Damp', 'Cloud Nine', 'Swift Swim']",Duck PokÃ©mon,80,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,82,5120,70,500,75,78,1000000,1.7,50.0,95,80,85,76.6
56,Mankey,Mankeyãƒžãƒ³ã‚­ãƒ¼,fighting,,1,0,"['Vital Spirit', 'Anger Point', 'Defiant']",Pig Monkey PokÃ©mon,40,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,80,5120,70,305,190,35,1000000,0.5,50.0,35,45,70,28.0
57,Primeape,Okorizaruã‚ªã‚³ãƒªã‚¶ãƒ«,fighting,,1,0,"['Vital Spirit', 'Anger Point', 'Defiant']",Pig Monkey PokÃ©mon,65,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,105,5120,70,455,75,60,1000000,1.0,50.0,60,70,95,32.0
58,Growlithe,Gardieã‚¬ãƒ¼ãƒ‡ã‚£,fire,,1,0,"['Intimidate', 'Flash Fire', 'Justified']",Puppy PokÃ©mon,55,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,70,5120,70,350,190,45,1250000,0.7,75.4,70,50,60,19.0
59,Arcanine,Windieã‚¦ã‚¤ãƒ³ãƒ‡ã‚£,fire,,1,0,"['Intimidate', 'Flash Fire', 'Justified']",Legendary PokÃ©mon,90,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,110,5120,70,555,75,80,1250000,1.9,75.4,100,80,95,155.0
60,Poliwag,Nyoromoãƒ‹ãƒ§ãƒ­ãƒ¢,water,,1,0,"['Water Absorb', 'Damp', 'Swift Swim']",Tadpole PokÃ©mon,40,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,50,5120,70,300,255,40,1059860,0.6,50.0,40,40,90,12.4
61,Poliwhirl,Nyorozoãƒ‹ãƒ§ãƒ­ã‚¾,water,,1,0,"['Water Absorb', 'Damp', 'Swift Swim']",Tadpole PokÃ©mon,65,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,65,5120,70,385,120,65,1059860,1.0,50.0,50,50,90,20.0
62,Poliwrath,Nyorobonãƒ‹ãƒ§ãƒ­ãƒœãƒ³,water,fighting,1,0,"['Water Absorb', 'Damp', 'Swift Swim']",Tadpole PokÃ©mon,90,0.5,0.5,1.0,2.0,2.0,1.0,0.5,2.0,1.0,2.0,1.0,0.5,1.0,1.0,2.0,0.5,0.5,0.5,95,5120,70,510,45,95,1059860,1.3,50.0,70,90,70,54.0
63,Abra,Caseyã‚±ãƒ¼ã‚·ã‚£,psychic,,1,0,"['Synchronize', 'Inner Focus', 'Magic Guard']",Psi PokÃ©mon,25,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,20,5120,70,310,200,15,1059860,0.9,75.4,105,55,90,19.5
64,Kadabra,Yungererãƒ¦ãƒ³ã‚²ãƒ©ãƒ¼,psychic,,1,0,"['Synchronize', 'Inner Focus', 'Magic Guard']",Psi PokÃ©mon,40,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,35,5120,70,400,100,30,1059860,1.3,75.4,120,70,105,56.5
65,Alakazam,Foodinãƒ•ãƒ¼ãƒ‡ã‚£ãƒ³,psychic,,1,0,"['Synchronize', 'Inner Focus', 'Magic Guard']",Psi PokÃ©mon,55,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,50,5120,70,600,50,65,1059860,1.5,75.4,175,105,150,48.0
66,Machop,Wanrikyãƒ¯ãƒ³ãƒªã‚­ãƒ¼,fighting,,1,0,"['Guts', 'No Guard', 'Steadfast']",Superpower PokÃ©mon,70,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,80,5120,70,305,180,50,1059860,0.8,75.4,35,35,35,19.5
67,Machoke,Gorikyã‚´ãƒ¼ãƒªã‚­ãƒ¼,fighting,,1,0,"['Guts', 'No Guard', 'Steadfast']",Superpower PokÃ©mon,80,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,100,5120,70,405,90,70,1059860,1.5,75.4,50,60,45,70.5
68,Machamp,Kairikyã‚«ã‚¤ãƒªã‚­ãƒ¼,fighting,,1,0,"['Guts', 'No Guard', 'Steadfast']",Superpower PokÃ©mon,90,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,130,5120,70,505,45,80,1059860,1.6,75.4,65,85,55,130.0
69,Bellsprout,Madatsubomiãƒžãƒ€ãƒ„ãƒœãƒŸ,grass,poison,1,0,"['Chlorophyll', 'Gluttony']",Flower PokÃ©mon,50,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,75,5120,70,300,255,35,1059860,0.7,50.0,70,30,40,4.0
70,Weepinbell,Utsudonã‚¦ãƒ„ãƒ‰ãƒ³,grass,poison,1,0,"['Chlorophyll', 'Gluttony']",Flycatcher PokÃ©mon,65,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,90,5120,70,390,120,50,1059860,1.0,50.0,85,45,55,6.4
